x,y,z,freq,value
60.441,144.576,0.2,3000013020.0,-80.1848297119
61.817,143.07,0.2,3000001450.0,-78.6443786621
62.719,141.564,0.2,2999999710.0,-79.118309021
63.16,140.058,0.2,2999954560.0,-78.9731826782
63.255,138.552,0.2,2999977420.0,-78.6763076782
63.047,137.046,0.2,3000093780.0,-80.0926971436
62.488,135.54,0.2,2999975980.0,-78.5708618164
61.471,134.034,0.2,3000022870.0,-77.305229187
60.04,132.528,0.2,3000055280.0,-81.1568374634
58.664,131.022,0.2,2999991610.0,-77.7222595215
57.762,129.516,0.2,3000077570.0,-77.5252838135
57.321,128.01,0.2,3000091750.0,-79.1595306396
57.226,126.504,0.2,2999905070.0,-78.4986953735
57.434,124.998,0.2,2999911720.0,-78.6533660889
57.993,123.492,0.2,3000030390.0,-80.1142425537
59.01,121.986,0.2,2999909990.0,-79.1005554199
60.441,120.48,0.2,3000020840.0,-77.076461792
61.817,118.974,0.2,3000066280.0,-78.0180053711
62.719,117.468,0.2,3000065700.0,-81.3511886597
63.16,115.962,0.2,3000033000.0,-79.257019043
63.255,114.456,0.2,2999988130.0,-78.2004852295
63.047,112.95,0.2,2999998840.0,-80.3435974121
62.488,111.444,0.2,3000065410.0,-78.1695404053
61.471,109.938,0.2,3000004050.0,-79.5920028687
60.04,108.432,0.2,2999969320.0,-77.8026733398
58.664,106.926,0.2,2999936030.0,-76.7553787231
57.762,105.42,0.2,3000019100.0,-78.3042831421
57.321,103.914,0.2,3000057310.0,-76.3895568848
57.226,102.408,0.2,2999926480.0,-76.7089080811
57.434,100.902,0.2,2999948770.0,-77.9261322021
57.993,99.396,0.2,2999904780.0,-75.4084014893
59.01,97.89,0.2,2999959190.0,-78.0074768066
60.441,96.384,0.2,3000033860.0,-77.2408370972
61.817,94.878,0.2,3000008680.0,-77.4385986328
62.719,93.372,0.2,3000011870.0,-77.4360351563
63.16,91.866,0.2,3000002890.0,-77.7521209717
63.255,90.36,0.2,2999958320.0,-80.6537628174
63.047,88.854,0.2,2999947610.0,-80.5561065674
63.047,88.854,0.2,3000022580.0,-78.904335022
62.488,87.348,0.2,2999967290.0,-77.109161377
61.471,85.842,0.2,3000055860.0,-76.0922241211
60.04,84.336,0.2,2999948770.0,-81.0091552734
58.664,82.83,0.2,3000016790.0,-78.9951477051
57.762,81.324,0.2,2999912010.0,-75.4837417603
57.321,79.818,0.2,3000051520.0,-78.5193710327
57.226,78.312,0.2,2999925040.0,-76.0899047852
57.434,76.806,0.2,3000025760.0,-77.6991271973
57.993,75.3,0.2,2999902750.0,-75.9543533325
59.01,73.794,0.2,3000088860.0,-80.3680496216
60.441,72.288,0.2,3000012740.0,-78.2926483154
61.817,70.782,0.2,2999965850.0,-77.981086731
62.719,69.276,0.2,2999999710.0,-78.4088897705
63.16,67.77,0.2,2999915480.0,-79.3025512695
63.255,66.264,0.2,3000015920.0,-77.036277771
63.047,64.758,0.2,2999937190.0,-75.7418136597
62.488,63.252,0.2,3000047470.0,-79.8952026367
61.471,61.746,0.2,2999937190.0,-78.2633209229
60.04,60.24,0.2,3000062230.0,-78.3467941284
